case_id,candidate_id,interval,station_zero_based,offset_working_px,x,y,available,passing,recorded_minimum_contrast,direct_bilinear_minimum_contrast,installed_cv2_minimum_contrast
am2_window_01_frame_28019,184:4123,10,0,-4,832.7321184454063,198.71757607453134,True,False,-4.016021728515625,-4.016021968796849,-4.322265625
am2_window_01_frame_28019,184:4123,10,0,-2,832.5662890700933,200.7106893724357,True,False,-29.810531616210938,-29.810535261407495,-29.869140625
am2_window_01_frame_28019,184:4123,10,0,0,832.4004596947801,202.70380267034008,True,False,-16.048110961914062,-16.04810819402337,-15.75390625
am2_window_01_frame_28019,184:4123,10,0,2,832.234630319467,204.69691596824447,True,False,-6.852447509765625,-6.852446724660695,-6.265625
am2_window_01_frame_28019,184:4123,10,0,4,832.068800944154,206.69002926614883,True,True,20.159393310546875,20.159394005313516,19.935546875
am2_window_01_frame_28019,184:4123,10,1,-4,838.2364463872898,199.17554264626648,True,False,-35.18042755126953,-35.18043213710189,-35.4375
am2_window_01_frame_28019,184:4123,10,1,-2,838.0706170119768,201.16865594417084,True,False,-27.051589965820312,-27.051595830358565,-26.900390625
am2_window_01_frame_28019,184:4123,10,1,0,837.9047876366636,203.16176924207522,True,False,-51.06452941894531,-51.06452231109142,-51.2685546875
am2_window_01_frame_28019,184:4123,10,1,2,837.7389582613505,205.1548825399796,True,False,-79.6246337890625,-79.62462577596307,-79.546875
am2_window_01_frame_28019,184:4123,10,1,4,837.5731288860375,207.14799583788397,True,False,-58.99273681640625,-58.99273139517754,-59.2265625
am2_window_01_frame_28019,184:4123,10,2,-4,843.7407743291733,199.6335092180016,True,False,-61.22681427001953,-61.22680498287082,-61.34375
am2_window_01_frame_28019,184:4123,10,2,-2,843.5749449538603,201.62662251590595,True,True,10.576690673828125,10.576690256595612,11.640625
am2_window_01_frame_28019,184:4123,10,2,0,843.4091155785471,203.61973581381034,True,False,-42.35211181640625,-42.35211019124836,-41.9345703125
am2_window_01_frame_28019,184:4123,10,2,2,843.243286203234,205.61284911171472,True,False,-74.63235473632812,-74.6323637906462,-74.7109375
am2_window_01_frame_28019,184:4123,10,2,4,843.077456827921,207.60596240961908,True,False,-74.80519104003906,-74.80519765987992,-75.8017578125
am2_window_01_frame_28019,184:4123,10,3,-4,849.2451017994367,200.0914757504974,True,False,-124.01551818847656,-124.0155208017677,-123.734375
am2_window_01_frame_28019,184:4123,10,3,-2,849.0792724241237,202.08458904840177,True,False,-40.4605712890625,-40.46056992560625,-40.6591796875
am2_window_01_frame_28019,184:4123,10,3,0,848.9134430488106,204.07770234630615,True,False,-34.18486022949219,-34.184867503121495,-34.49609375
am2_window_01_frame_28019,184:4123,10,3,2,848.7476136734974,206.07081564421054,True,False,-27.867889404296875,-27.867883797734976,-27.953125
am2_window_01_frame_28019,184:4123,10,3,4,848.5817842981844,208.0639289421149,True,False,-16.616928100585938,-16.61693061515689,-16.4541015625
am2_window_01_frame_28019,184:4123,10,4,-4,854.7494302129402,200.54944236147188,True,False,-81.363037109375,-81.36302912980318,-80.7578125
am2_window_01_frame_28019,184:4123,10,4,-2,854.5836008376272,202.54255565937623,True,False,-45.84002685546875,-45.84003559406847,-45.7509765625
am2_window_01_frame_28019,184:4123,10,4,0,854.417771462314,204.53566895728062,True,False,-36.1348876953125,-36.13488128967583,-36.4619140625
am2_window_01_frame_28019,184:4123,10,4,2,854.2519420870009,206.528782255185,True,False,-1.58746337890625,-1.5874610915780067,-1.4453125
am2_window_01_frame_28019,184:4123,10,4,4,854.0861127116879,208.52189555308937,True,False,2.9772491455078125,2.977260953746736,2.8251953125
