case_id,label,arm,pair_id,groups,direction_fit_px,axis,coordinates,enumerated,supported,supported_and_players,distinct,kept,cap_threshold_score,nearest_kept_by_kept_px,nearest_distinct_by_distinct_px,best_enumerated_px,best_supported_px,best_supported_and_players_px,best_distinct_px,best_kept_px,best_enumerated_rank,best_supported_rank,best_supported_and_players_rank,best_distinct_rank,best_kept_rank
am2_window_00_frame_150,Am2-150,baseline,30,2 0,3.2564,vertical,6,13050,11066,6302,3376,512,0.59,8.6567,5.432,3.2451,3.2451,3.2451,3.2451,7.9674,702,702,702,702,36
am2_window_00_frame_150,Am2-150,person,32,2 3,8.8878,horizontal,5,12600,9074,8366,5990,512,0.6472,57.5016,17.4107,10.011,14.3206,14.3206,14.3206,20.3734,-1,1790,1790,1790,262
am2_window_00_frame_150,Am2-150,person,32,2 3,8.8878,vertical,6,4590,2444,1616,1192,512,0.4398,57.5016,17.4107,15.4667,15.4667,15.4667,15.4667,63.9942,1142,1142,1142,1142,390
am2_window_00_frame_150,Am2-150,paint,28,1 14,11.9797,horizontal,5,4620,2830,2756,2010,512,0.567,40.5141,12.9342,16.3456,16.3456,16.3456,16.3456,16.3456,1351,1351,1351,1351,103
am2_window_00_frame_150,Am2-150,paint,28,1 14,11.9797,vertical,6,6930,4418,2258,1350,512,0.482,40.5141,12.9342,10.8794,10.8794,10.8794,16.0405,32.2995,-1,-1,-1,1200,109
am2_window_00_frame_150,Am2-150,paint_person,15,1 0,14.3246,horizontal,5,5060,3198,3124,2390,512,0.5784,46.2199,22.6297,16.3283,16.3283,16.3283,16.3283,22.7206,1741,1741,1741,1741,30
am2_window_00_frame_150,Am2-150,paint_person,15,1 0,14.3246,vertical,6,5130,3696,1938,1274,512,0.4581,46.2199,22.6297,22.4423,26.8713,26.8713,26.8713,32.6896,-1,1049,1049,1049,374
am2_window_00_frame_150,Am2-150,paint_observations,30,2 0,3.2564,horizontal,5,3800,1760,1704,1162,512,0.5027,6.5543,6.5543,5.1622,5.1622,5.1622,8.8668,8.8668,-1,-1,-1,2,2
am2_window_00_frame_150,Am2-150,paint_observations,30,2 0,3.2564,vertical,6,5130,3770,2136,1240,512,0.4867,6.5543,6.5543,3.3076,3.3076,3.3076,3.3076,3.3076,238,238,238,238,238
am2_window_00_frame_150,Am2-150,person_observations,30,2 0,3.2564,horizontal,5,15600,9328,7786,4922,512,0.6013,8.6567,5.432,5.1622,5.1622,5.1622,5.2008,5.2008,-1,-1,-1,6,6
am2_window_00_frame_150,Am2-150,person_observations,30,2 0,3.2564,vertical,6,13050,10978,6172,3078,512,0.5732,8.6567,5.432,3.2451,3.2451,3.2451,3.2451,4.6119,568,568,568,568,429
am2_window_01_frame_28019,Am2-28019,baseline,15,1 0,2.9722,horizontal,5,18920,12698,11582,7102,512,0.6549,61.6207,5.9399,3.6671,3.6671,3.6671,4.9309,4.9309,-1,-1,-1,3,3
am2_window_01_frame_28019,Am2-28019,baseline,15,1 0,2.9722,vertical,6,12180,9718,6348,3958,512,0.6142,61.6207,5.9399,3.1515,3.1515,3.1515,3.9427,60.9274,-1,-1,-1,729,345
am2_window_01_frame_28019,Am2-28019,person,15,1 0,5.1996,horizontal,5,15600,10756,10020,6308,512,0.606,4.6218,4.6218,4.8431,4.8431,4.8431,4.8431,4.8431,78,78,78,78,78
am2_window_01_frame_28019,Am2-28019,person,15,1 0,5.1996,vertical,6,9750,7470,3740,2582,512,0.5205,4.6218,4.6218,4.8208,4.8208,4.8208,4.84,4.84,-1,-1,-1,3,3
am2_window_01_frame_28019,Am2-28019,paint,15,1 0,2.684,horizontal,5,4200,2214,2170,1504,512,0.4908,5.2466,5.2466,3.0669,3.0669,3.0669,5.6523,5.6523,-1,-1,-1,43,43
