case_id,arm,pair_id,pencils,combined_count,valid_count,usable_count,gate2_usable_corners_equal,nearest_combined_px,nearest_combined_index,nearest_combined_valid,nearest_combined_usable,nearest_combined_player_any,nearest_combined_player_both_halves,nearest_valid_px,nearest_valid_index,nearest_valid_usable,nearest_valid_player_any,nearest_valid_player_both_halves,nearest_usable_px,nearest_usable_index,nearest_usable_post_gate_index,combined_within_5px,valid_within_5px,usable_within_5px,combined_within_20px,valid_within_20px,usable_within_20px
gxBQ_window_00_frame_0,M,39,2 10,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,45,3 0,189440,72588,47580,True,311.6448555128758,164854,True,False,1.0,0.0,311.6448555128758,164854,False,1.0,0.0,313.76564856481525,164321,40641,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,46,3 1,262144,3172,2148,True,304.4986385330429,166172,False,False,1.0,0.5,318.70358634990873,165996,True,1.0,0.5,318.70358634990873,165996,1562,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,47,3 2,192512,73764,42162,True,295.65033373671963,171579,True,False,1.0,0.0,295.65033373671963,171579,False,1.0,0.0,298.20695386335194,171673,37887,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,50,3 6,156160,57236,16610,True,517.4103286608879,34450,False,False,1.0,0.0,518.4068118312221,34863,False,1.0,0.0,522.0428481862235,84185,8659,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,51,3 7,189440,52206,38122,True,371.2312367749773,17232,True,True,1.0,1.0,371.2312367749773,17232,True,1.0,1.0,371.2312367749773,17232,3043,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,52,3 8,262144,3972,3050,True,289.8508786145062,94294,False,False,1.0,1.0,335.5029263595172,116979,True,1.0,0.8333333134651184,335.5029263595172,116979,1438,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,55,3 11,189440,71408,47726,True,292.7433403151632,44459,True,False,1.0,0.0,292.7433403151632,44459,False,1.0,0.0,311.64103704846303,44476,10568,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,56,3 12,192512,73772,49218,True,299.9767786739763,30989,True,False,0.7666666507720947,0.0,299.9767786739763,30989,False,0.7666666507720947,0.0,303.096773547094,31015,7610,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,57,3 13,190464,77372,52752,True,299.3544876740707,49319,True,False,0.46666666865348816,0.0,299.3544876740707,49319,False,0.46666666865348816,0.0,301.81752575082953,49289,12965,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,58,3 14,188416,76490,51260,True,290.2248353764662,185710,True,False,1.0,0.03333333507180214,290.2248353764662,185710,False,1.0,0.03333333507180214,293.68813936549134,185674,50451,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,59,3 15,186368,65706,38126,True,322.80252829338394,142822,True,False,1.0,0.0,322.80252829338394,142822,False,1.0,0.0,323.04308041206144,142794,28941,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,60,4 0,46080,19788,10744,True,302.29374671383306,40394,True,False,1.0,0.0,302.29374671383306,40394,False,1.0,0.0,333.22516878779874,33012,7907,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,61,4 1,21504,3214,2624,True,326.60860006480135,2547,False,False,1.0,1.0,342.50701623965494,12794,True,1.0,1.0,342.50701623965494,12794,1540,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,62,4 2,38912,14294,7486,True,301.4017016097979,18560,True,False,1.0,0.03333333507180214,301.4017016097979,18560,False,1.0,0.03333333507180214,309.8860571434745,29977,5759,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,65,4 6,23528,10146,3012,True,515.4393197130213,19734,True,False,1.0,0.0,515.4393197130213,19734,False,1.0,0.0,520.4494996424444,19741,2535,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,67,4 8,36864,4226,2982,True,248.4256654841048,31151,False,False,0.03333333507180214,0.0,368.5794882407224,31126,False,0.3333333432674408,0.0,382.10091421528693,35584,2858,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,69,4 10,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,70,4 11,48128,19872,11086,True,288.5770536784546,46327,True,False,1.0,0.0,288.5770536784546,46327,False,1.0,0.0,301.35475969657534,12615,2682,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,71,4 12,44032,18434,11392,True,302.5164340513255,23291,True,False,1.0,0.0,302.5164340513255,23291,False,1.0,0.0,329.7482790560132,43017,11136,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,72,4 13,45056,19966,10758,True,311.29285908644215,43030,False,False,0.0,0.0,319.8748810787717,40197,False,1.0,0.03333333507180214,327.92151590150684,42967,10303,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,73,4 14,48128,21012,11508,True,294.7793299951782,2706,True,False,1.0,0.0,294.7793299951782,2706,False,1.0,0.0,301.30990879815755,2651,387,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,74,4 15,43008,15788,8918,True,288.8722714740421,14696,True,False,1.0,0.0,288.8722714740421,14696,False,1.0,0.0,315.0349831584989,29455,5774,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,76,5 1,172032,7406,522,True,295.05537452091005,119271,True,True,1.0,0.8333333134651184,295.05537452091005,119271,True,1.0,0.8333333134651184,295.05537452091005,119271,431,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,80,5 6,37680,13950,1698,True,516.0179204604451,22649,False,False,1.0,1.0,521.7661125280537,30460,False,1.0,0.0,524.4245768058189,30273,1308,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,81,5 7,62464,8580,5028,True,379.22186914327983,53787,True,True,1.0,1.0,379.22186914327983,53787,True,1.0,1.0,379.22186914327983,53787,4370,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,82,5 8,154624,20478,10560,True,270.9247516445856,140938,True,True,1.0,1.0,270.9247516445856,140938,True,1.0,1.0,270.9247516445856,140938,9971,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,90,6 0,189440,3992,604,True,823.4631975858537,96877,False,False,1.0,0.0,825.6429762351979,63207,True,1.0,1.0,825.6429762351979,63207,179,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,92,6 2,176128,4876,3812,True,790.2381119450174,87690,False,False,1.0,1.0,836.6274846960722,87691,True,1.0,1.0,836.6274846960722,87691,1237,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,93,6 3,130048,55686,47586,True,349.7084089952326,17381,True,True,1.0,1.0,349.7084089952326,17381,True,1.0,1.0,349.7084089952326,17381,7553,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,94,6 4,21456,10240,10240,True,152.40733332193054,12798,True,True,1.0,1.0,152.40733332193054,12798,True,1.0,1.0,152.40733332193054,12798,6153,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,95,6 5,36408,16292,15628,True,405.7445052292992,27215,True,True,1.0,1.0,405.7445052292992,27215,True,1.0,1.0,405.7445052292992,27215,11582,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,98,6 9,130048,38916,34746,True,350.8011115272055,77282,True,True,1.0,1.0,350.8011115272055,77282,True,1.0,1.0,350.8011115272055,77282,19543,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,100,6 11,163840,4880,1124,True,858.6696883386853,35382,False,False,1.0,1.0,867.4265319110762,35383,True,1.0,1.0,867.4265319110762,35383,161,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,101,6 12,189440,5148,846,True,701.4288248635328,183796,True,True,1.0,1.0,701.4288248635328,183796,True,1.0,1.0,701.4288248635328,183796,821,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,102,6 13,193536,2550,522,True,707.7866799058767,42548,True,True,1.0,1.0,707.7866799058767,42548,True,1.0,1.0,707.7866799058767,42548,104,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,103,6 14,162816,6882,2344,True,857.1622827685236,117254,False,False,1.0,1.0,857.6674466594412,47294,True,1.0,1.0,857.6674466594412,47294,432,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,104,6 15,169984,4622,974,True,824.2880518440847,144294,False,False,1.0,1.0,883.6426904386683,51335,True,1.0,1.0,883.6426904386683,51335,309,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,106,7 1,262144,120898,103700,True,243.28915304774176,206288,True,True,1.0,1.0,243.28915304774176,206288,True,1.0,1.0,243.28915304774176,206288,79985,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,108,7 3,262144,23364,19284,True,173.93110996410977,140561,True,True,1.0,1.0,173.93110996410977,140561,True,1.0,1.0,173.93110996410977,140561,9720,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,110,7 5,94208,2274,2106,True,226.94002070427484,17677,True,False,1.0,0.0,226.94002070427484,17677,False,1.0,0.0,315.21713785491266,51468,1150,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,112,7 8,232448,93956,83968,True,218.97593917580528,226637,True,True,1.0,1.0,218.97593917580528,226637,True,1.0,1.0,218.97593917580528,226637,81062,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,113,7 9,262144,22212,17378,True,168.210897774412,156001,True,True,1.0,1.0,168.210897774412,156001,True,1.0,1.0,168.210897774412,156001,9773,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,114,7 10,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,120,8 0,199680,50504,32834,True,266.1351330660869,146881,True,False,1.0,0.30000001192092896,266.1351330660869,146881,False,1.0,0.30000001192092896,267.963145958912,146688,24281,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,123,8 3,262144,5078,2956,True,123.31074527165184,171255,True,False,1.0,0.0,123.31074527165184,171255,False,1.0,0.0,188.19603027808967,51949,546,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,124,8 4,44744,2600,1294,True,95.1417017653418,38498,True,True,1.0,1.0,95.1417017653418,38498,True,1.0,1.0,95.1417017653418,38498,862,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,125,8 5,131072,13916,9782,True,295.13996249238687,93400,False,False,1.0,0.9333333373069763,426.80593317349576,113114,True,1.0,0.7666666507720947,426.80593317349576,113114,9125,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,127,8 7,197632,65456,20756,True,293.233984989209,168008,True,True,1.0,1.0,293.233984989209,168008,True,1.0,1.0,293.233984989209,168008,16027,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,128,8 9,262144,9350,6974,True,138.17791424539288,134211,True,False,1.0,0.0,138.17791424539288,134211,False,1.0,0.0,138.17791424539288,134385,3612,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,130,8 11,199680,49928,33834,True,265.37145945933173,141526,True,False,1.0,0.2666666805744171,265.37145945933173,141526,False,1.0,0.2666666805744171,265.37588928398804,141313,22588,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,131,8 12,201728,48184,33496,True,271.63451480009707,107448,True,False,1.0,0.0,271.63451480009707,107448,False,1.0,0.0,281.5141225209698,107278,17198,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,132,8 13,200704,56062,36014,True,282.3378387251163,196205,True,True,1.0,1.0,282.3378387251163,196205,True,1.0,1.0,282.3378387251163,196205,34653,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,133,8 14,199680,54608,34192,True,264.6613665615675,177288,True,True,1.0,0.5,264.6613665615675,177288,True,1.0,0.5,264.6613665615675,177288,30620,0,0,0,0,0,0
