case_id,arm,pair_id,pencils,proposed_count,retained_count,nearest_proposed_px,nearest_proposed_index,nearest_proposed_retained,nearest_retained_px,nearest_retained_index,nearest_retained_px_float64_from_record,cap_gain_px,cap_discarded_closer_court,courts_closer_than_pool_nearest
gxBQ_window_00_frame_0,M,0,0 1,42736,256,310.16902949507124,19598,False,341.96893051146236,6655,341.9689346980678,31.799901016391118,True,0
gxBQ_window_00_frame_0,M,2,0 3,88064,256,159.29197489694494,80343,False,385.0951134925622,57870,385.09511060208905,225.80313859561724,True,0
gxBQ_window_00_frame_0,M,3,0 4,15692,256,148.53871810314064,7691,False,296.5556793860756,15415,296.55568505015316,148.01696128293497,True,0
gxBQ_window_00_frame_0,M,5,0 6,7642,256,2262.528108363686,1822,True,2262.528108363686,1822,2262.5282098572884,0.0,False,0
gxBQ_window_00_frame_0,M,7,0 8,56004,256,225.94058312740884,30930,False,348.027340170644,12971,348.02732649962945,122.08675704323514,True,0
gxBQ_window_00_frame_0,M,8,0 9,83318,256,155.14812198576507,27065,False,984.9784503173532,75954,984.9784522420906,829.8303283315881,True,0
gxBQ_window_00_frame_0,M,9,0 10,0,0,,,,,,,,,
gxBQ_window_00_frame_0,M,15,1 0,51526,256,282.76643321474444,51273,False,282.7664446112894,51204,282.76643686598015,1.139654494863862e-05,False,0
gxBQ_window_00_frame_0,M,16,1 2,37724,256,290.46501042348865,37655,False,357.39616459181315,7079,357.3961559123347,66.9311541683245,True,0
gxBQ_window_00_frame_0,M,17,1 3,3556,256,64.6409872764514,3280,False,93.03179322467759,2056,93.03179015781157,28.390805948226188,True,0
gxBQ_window_00_frame_0,M,18,1 4,1524,256,69.90657047044374,801,False,111.86686700178511,787,111.86684665914316,41.96029653134137,True,0
gxBQ_window_00_frame_0,M,19,1 5,7418,256,479.3582776674704,4831,False,487.61045023006244,4782,487.6104565857455,8.252172562592023,True,0
gxBQ_window_00_frame_0,M,21,1 7,15656,256,280.8422560788331,9940,False,301.7450971218415,14715,301.7450708536767,20.902841043008436,True,0
gxBQ_window_00_frame_0,M,23,1 9,12622,256,33.82247520617903,10986,True,33.82247520617903,10986,33.822484574184806,0.0,False,0
gxBQ_window_00_frame_0,M,25,1 11,66154,256,264.04792455341817,54737,False,282.9490001049265,54710,282.9489935949493,18.901075551508313,True,0
gxBQ_window_00_frame_0,M,26,1 12,54022,256,281.5965977972969,37072,False,345.9370286302309,24305,345.9370336853941,64.34043083293398,True,0
gxBQ_window_00_frame_0,M,27,1 13,58844,256,279.00252149448715,12390,False,310.0033769921537,10755,310.0033651774931,31.00085549766652,True,0
gxBQ_window_00_frame_0,M,28,1 14,56994,256,263.90498213962803,26439,False,288.3604579038064,6297,288.36044420510007,24.455475764178345,True,0
gxBQ_window_00_frame_0,M,29,1 15,65984,256,264.8951566684573,18106,False,291.924385777131,50400,291.9243978945929,27.029229108673746,True,0
gxBQ_window_00_frame_0,M,31,2 1,8852,256,244.4450412250398,3809,False,290.9315931136389,763,290.93157380197414,46.48655188859908,True,0
gxBQ_window_00_frame_0,M,32,2 3,81484,256,162.5832996152957,9566,False,488.2724220884084,10222,488.27243239811077,325.6891224731127,True,0
gxBQ_window_00_frame_0,M,33,2 4,14976,256,226.97288893778673,3555,False,395.7252642869778,3892,395.72527233697264,168.75237534919106,True,0
gxBQ_window_00_frame_0,M,35,2 6,7870,256,1598.8270065122883,4247,False,2652.2954400641943,4333,2652.2953250939245,1053.468433551906,True,0
gxBQ_window_00_frame_0,M,38,2 9,88576,256,189.0047228832998,74358,False,576.0553532789048,39334,576.055350283657,387.050630395605,True,0
gxBQ_window_00_frame_0,M,39,2 10,0,0,,,,,,,,,
gxBQ_window_00_frame_0,M,45,3 0,47580,256,313.76564856481525,40641,False,367.53957214159186,29528,367.5395700193158,53.77392357677661,True,0
gxBQ_window_00_frame_0,M,46,3 1,2148,256,318.70358634990873,1562,False,415.6808557427544,1746,415.68087874668225,96.97726939284564,True,0
gxBQ_window_00_frame_0,M,47,3 2,42162,256,298.20695386335194,37887,False,475.8488342302108,30096,475.84884952647957,177.64188036685886,True,0
gxBQ_window_00_frame_0,M,50,3 6,16610,256,522.0428481862235,8659,False,554.976508192602,8760,554.9765141359625,32.93366000637843,True,0
gxBQ_window_00_frame_0,M,51,3 7,38122,256,371.2312367749773,3043,False,529.5723767781853,25145,529.5723803353109,158.34114000320807,True,0
gxBQ_window_00_frame_0,M,52,3 8,3050,256,335.5029263595172,1438,False,361.140168914102,1481,361.1401682806961,25.637242554584816,True,0
gxBQ_window_00_frame_0,M,55,3 11,47726,256,311.64103704846303,10568,False,366.04256381804834,15432,366.04257750362063,54.4015267695853,True,0
gxBQ_window_00_frame_0,M,56,3 12,49218,256,303.096773547094,7610,False,488.4820714068116,25090,488.48206576731576,185.38529785971758,True,0
gxBQ_window_00_frame_0,M,57,3 13,52752,256,301.81752575082953,12965,False,367.48482543002785,33012,367.4848123132603,65.66729967919832,True,0
gxBQ_window_00_frame_0,M,58,3 14,51260,256,293.68813936549134,50451,False,378.9543159654639,5784,378.954312488847,85.26617659997254,True,0
gxBQ_window_00_frame_0,M,59,3 15,38126,256,323.04308041206144,28941,False,377.35039740982285,10494,377.3503865435758,54.307316997761404,True,0
gxBQ_window_00_frame_0,M,60,4 0,10744,256,333.22516878779874,7907,False,348.67762747130814,3311,348.67762766711286,15.452458683509406,True,0
gxBQ_window_00_frame_0,M,61,4 1,2624,256,342.50701623965494,1540,False,412.3128019566228,901,412.3127925176583,69.80578571696788,True,0
gxBQ_window_00_frame_0,M,62,4 2,7486,256,309.8860571434745,5759,False,469.5623274073337,4275,469.56233101483735,159.67627026385924,True,0
gxBQ_window_00_frame_0,M,65,4 6,3012,256,520.4494996424444,2535,False,754.2293947776145,1551,754.2294161512875,233.77989513517014,True,0
gxBQ_window_00_frame_0,M,67,4 8,2982,256,382.10091421528693,2858,False,472.3863208989021,1206,472.3863262656929,90.28540668361518,True,0
gxBQ_window_00_frame_0,M,69,4 10,0,0,,,,,,,,,
gxBQ_window_00_frame_0,M,70,4 11,11086,256,301.35475969657534,2682,False,348.750848578994,10545,348.7508619626524,47.39608888241867,True,0
gxBQ_window_00_frame_0,M,71,4 12,11392,256,329.7482790560132,11136,False,363.0082354076877,8919,363.0082271146505,33.25995635167453,True,0
gxBQ_window_00_frame_0,M,72,4 13,10758,256,327.92151590150684,10303,False,349.9681626536933,6681,349.96816219593615,22.04664675218646,True,0
gxBQ_window_00_frame_0,M,73,4 14,11508,256,301.30990879815755,387,False,347.3405991994951,4769,347.34057602952333,46.03069040133755,True,0
gxBQ_window_00_frame_0,M,74,4 15,8918,256,315.0349831584989,5774,False,409.72103064140987,8806,409.7210461505571,94.68604748291096,True,0
gxBQ_window_00_frame_0,M,76,5 1,522,256,295.05537452091005,431,True,295.05537452091005,431,295.05536019880225,0.0,False,0
gxBQ_window_00_frame_0,M,80,5 6,1698,256,524.4245768058189,1308,False,528.0156667982176,1309,528.015684880918,3.591089992398679,True,0
gxBQ_window_00_frame_0,M,81,5 7,5028,256,379.22186914327983,4370,False,395.3669139323254,544,395.3668919850312,16.145044789045585,True,0
gxBQ_window_00_frame_0,M,82,5 8,10560,256,270.9247516445856,9971,False,355.75847516717545,9996,355.75848403592715,84.83372352258982,True,0
gxBQ_window_00_frame_0,M,90,6 0,604,256,825.6429762351979,179,False,827.288388323004,375,827.2883878712827,1.6454120878061076,True,0
gxBQ_window_00_frame_0,M,92,6 2,3812,256,836.6274846960722,1237,False,1336.8699172028423,511,1336.869923098769,500.2424325067701,True,0
gxBQ_window_00_frame_0,M,93,6 3,47586,256,349.7084089952326,7553,False,446.4954729346444,8926,446.4954830899165,96.78706393941178,True,0
gxBQ_window_00_frame_0,M,94,6 4,10240,256,152.40733332193054,6153,False,505.0511069702464,2406,505.05112244477857,352.64377364831586,True,0
gxBQ_window_00_frame_0,M,95,6 5,15628,256,405.7445052292992,11582,False,494.18977562120267,8450,494.1897786217719,88.44527039190348,True,0
gxBQ_window_00_frame_0,M,98,6 9,34746,256,350.8011115272055,19543,False,433.17208709177595,17696,433.1720979063241,82.37097556457047,True,0
gxBQ_window_00_frame_0,M,100,6 11,1124,256,867.4265319110762,161,False,1022.5978889603022,825,1022.597843034929,155.171357049226,True,0
gxBQ_window_00_frame_0,M,101,6 12,846,256,701.4288248635328,821,True,701.4288248635328,821,701.4288272733701,0.0,False,0
gxBQ_window_00_frame_0,M,102,6 13,522,256,707.7866799058767,104,True,707.7866799058767,104,707.7866784782743,0.0,False,0
gxBQ_window_00_frame_0,M,103,6 14,2344,256,857.6674466594412,432,False,1044.9646834223813,332,1044.9646720091737,187.2972367629401,True,0
gxBQ_window_00_frame_0,M,104,6 15,974,256,883.6426904386683,309,False,942.4180973965217,107,942.4180795556634,58.77540695785342,True,0
gxBQ_window_00_frame_0,M,106,7 1,103700,256,243.28915304774176,79985,False,459.7805164661849,1767,459.78053078502404,216.49136341844314,True,0
gxBQ_window_00_frame_0,M,108,7 3,19284,256,173.93110996410977,9720,False,401.1516478372005,11999,401.15166119079106,227.22053787309076,True,0
gxBQ_window_00_frame_0,M,110,7 5,2106,256,315.21713785491266,1150,True,315.21713785491266,1150,315.21713472399193,0.0,False,0
gxBQ_window_00_frame_0,M,112,7 8,83968,256,218.97593917580528,81062,False,546.510883602967,62530,546.5108851024908,327.5349444271618,True,0
gxBQ_window_00_frame_0,M,113,7 9,17378,256,168.210897774412,9773,False,650.6910930300684,16118,650.6910844641852,482.4801952556564,True,0
gxBQ_window_00_frame_0,M,114,7 10,0,0,,,,,,,,,
gxBQ_window_00_frame_0,M,120,8 0,32834,256,267.963145958912,24281,False,325.84223416016954,23726,325.8422301500579,57.87908820125756,True,0
gxBQ_window_00_frame_0,M,123,8 3,2956,256,188.19603027808967,546,False,197.9843931582601,2275,197.98439658043375,9.788362880170439,True,0
gxBQ_window_00_frame_0,M,124,8 4,1294,256,95.1417017653418,862,False,265.5236561042788,515,265.52367934884694,170.38195433893702,True,0
gxBQ_window_00_frame_0,M,125,8 5,9782,256,426.80593317349576,9125,False,511.7316733937819,7318,511.73166633979304,84.92574022028612,True,0
gxBQ_window_00_frame_0,M,127,8 7,20756,256,293.233984989209,16027,False,424.82889900860636,7209,424.8288987109084,131.59491401939738,True,0
gxBQ_window_00_frame_0,M,128,8 9,6974,256,138.17791424539288,3612,False,294.8908546230886,4858,294.89085367914515,156.71294037769573,True,0
gxBQ_window_00_frame_0,M,130,8 11,33834,256,265.37588928398804,22588,False,322.045961717021,3490,322.04596386082005,56.67007243303294,True,0
gxBQ_window_00_frame_0,M,131,8 12,33496,256,281.5141225209698,17198,False,317.6994888173197,8906,317.6994772454379,36.18536629634991,True,0
gxBQ_window_00_frame_0,M,132,8 13,36014,256,282.3378387251163,34653,False,322.0579689349765,29147,322.05795592100867,39.7201302098602,True,0
gxBQ_window_00_frame_0,M,133,8 14,34192,256,264.6613665615675,30620,False,320.57853777215183,26455,320.57854630165144,55.91717121058434,True,0
gxBQ_window_00_frame_0,M,134,8 15,31756,256,275.75502619251773,21802,True,275.75502619251773,21802,275.7550210280419,0.0,False,0
gxBQ_window_00_frame_0,M,135,9 0,47382,256,337.7108546117921,15055,False,414.56039343369014,27755,414.56039774075225,76.84953882189802,True,0
gxBQ_window_00_frame_0,M,136,9 1,5506,256,375.5642639909385,238,False,375.5642639909385,246,375.5642659983569,0.0,False,0
gxBQ_window_00_frame_0,M,137,9 2,35484,256,297.4741009465412,23676,False,490.24516805298845,9847,490.2451678026257,192.77106710644722,True,0
gxBQ_window_00_frame_0,M,141,9 6,7826,256,521.2648362900202,3431,False,538.1316528590754,6641,538.1316240992604,16.86681656905523,True,0
gxBQ_window_00_frame_0,M,142,9 7,25474,256,384.72010117864744,25455,False,456.2970735137944,14898,456.2970807494578,71.57697233514693,True,0
